"ROW_ID","ROW_VERSION","pmcid","synid","context"
"106","16","pmc:PMC10131459","syn26529247","de (.r) Synapse: 10.7303/syn26529247 [ 11 ] Data file 4 phc_s"
"107","16","pmc:PMC10131459","syn26529247","(.html) Synapse: 10.7303/syn26529247 [ 11 ] Data file 5 pmm_s"
"108","16","pmc:PMC10131459","syn26529247","(.html) Synapse: 10.7303/syn26529247 [ 11 ] Data file 6 phc_m"
"109","16","pmc:PMC10131459","syn26529247","(.html) Synapse: 10.7303/syn26529247 [ 11 ] Data file 7 phc_m"
"110","16","pmc:PMC10131459","syn26529247","(.xlsx) Synapse: 10.7303/syn26529247 [ 11 ] Dataset 1 phc_dat"
"111","16","pmc:PMC10131459","syn26529247","(.zip) Synapse: 10.7303/syn26529247 [ 11 ] Dataset 2 phc_cle"
"112","16","pmc:PMC10131459","syn26529247",".rdata) Synapse: 10.7303/syn26529247 [ 11 ] Dataset 3 pmm_cle"
"113","16","pmc:PMC10131459","syn26529247",".rdata) Synapse: 10.7303/syn26529247 [ 11 ] Dataset 4 phc_mas"
"114","16","pmc:PMC10131459","syn26529247",".rdata) Synapse: 10.7303/syn26529247 [ 11 ] Anyone can browse"
"115","16","pmc:PMC10131459","syn26529247","napse under DOI: 10.7303/syn26529247. Anyone can browse the c"
"116","16","pmc:PMC10131459","syn25148356","five in Brazil. 10.7303/syn25148356. Accessed 08 Aug 2022. 7"
"117","16","pmc:PMC10131459","syn25049520","nd impact. 2021. 10.7303/syn25049520. Accessed 25 Aug 2022. 8"
"118","16","pmc:PMC10131459","syn26529247","rom 1998 to 2020 10.7303/syn26529247"
"119","16","pmc:PMC10131710","syn22803188","ww.synapse.org/#!Synapse:syn22803188/wiki/606343"
"120","16","pmc:PMC10136684","syn16780177","on Synapse (snRNAseqMFC: syn16780177, snRNAseqAD_TREM2: syn21"
"121","16","pmc:PMC10136684","syn21682120","80177, snRNAseqAD_TREM2: syn21682120, snRNAseqPFC_BA10: syn21"
"122","16","pmc:PMC10136684","syn21261143","82120, snRNAseqPFC_BA10: syn21261143). WGS data were from a s"
"123","16","pmc:PMC10137632","syn22159468","ww.synapse.org/#!Synapse:syn22159468/wiki/603890 , accessed o"
"124","16","pmc:PMC10137632","syn22159468","ww.synapse.org/#!Synapse:syn22159468 (accessed on 23 January"
"125","16","pmc:PMC10153468","syn21411369","ww.synapse.org/#!Synapse:syn21411369/files/ ). The original c"
"126","16","pmc:PMC10156891","syn17015233","e Portal 40 (Synapse ID: syn17015233). We selected PPARG asso"
"127","16","pmc:PMC10157587","syn51169055","synapse.org at: 10.7303/syn51169055. Declarations Ethical Ap"
"128","16","pmc:PMC10159362","syn16795931","he following synapse ids—syn16795931—Brodmann Area (BM10)—fro"
"129","16","pmc:PMC10159362","syn16795934","BM10)—frontal pole (FP), syn16795934—BM22—superior temporal g"
"130","16","pmc:PMC10159362","syn16795937","or temporal gyrus (STG), syn16795937—BM36—parahippocampal gyr"
"131","16","pmc:PMC10159362","syn16795940","hippocampal gyrus (PHG), syn16795940—BM44—inferior frontal gy"
"132","16","pmc:PMC10159362","syn3159438","B) study [ 47 ] (10.7303/syn3159438). The preprocessed data"
"133","16","pmc:PMC10162998","syn18485175","ww.synapse.org/#!Synapse:syn18485175 ) under the 10.7303/syn1"
"134","16","pmc:PMC10162998","syn18485175","5175 ) under the 10.7303/syn18485175. Data used in this study"
"135","16","pmc:PMC10165836","syn11726620","ww.synapse.org/#!Synapse:syn11726620 . From this data set, we"
"136","16","pmc:PMC10165836","syn11726620","ww.synapse.org/#!Synapse:syn11726620 . Declarations Ethics ap"
"137","16","pmc:PMC10168239","syn4976363","eneExp.tsv” (synapse id: syn4976363). Briefly, the matrices"
"138","16","pmc:PMC10168239","syn4976363","wnloaded from synapse id syn4976363 (EB++GeneExpAnnotation.t"
"139","16","pmc:PMC10168282","syn22079621","ww.synapse.org/#!Synapse:syn22079621/ . Dozer R package and v"
"140","16","pmc:PMC10170100","syn34054965","CSF SRM Synapse 10.7303/syn34054965 26. MacLean B Skyline: a"
"141","16","pmc:PMC10174396","syn2374375","w.synapse.org/# !Synapse:syn2374375). [ 16 ] Transcriptomic"
"142","16","pmc:PMC10175346","syn21125841","re available on Synapse (syn21125841). iPSC-iMGLs RNA-seq dat"
